N. ORD.;TRATTO;X (mm);Y (mm);DISTANZA (mm);TEMPO (msec);PRESSIONE (%);VELOCITA (mm/sec);ACCELERAZIONE (mm/sec^2)
439;2;66,09;30,34;0,29;2480;98,24;57,3;2838,0
440;2;66,06;30,64;0,30;2485;98,34;60,3;605,6
441;2;66,08;30,98;0,34;2490;98,63;68,1;1563,7
442;2;66,13;31,31;0,33;2495;98,83;66,8;-272,9
443;2;66,23;31,63;0,34;2500;99,02;67,1;59,8
444;2;66,38;31,95;0,35;2505;99,22;70,7;726,0
445;2;66,56;32,26;0,36;2510;99,12;71,7;202,3
446;2;66,78;32,53;0,35;2515;99,12;69,7;-407,5
447;2;67,02;32,76;0,33;2520;99,22;66,5;-634,6
448;2;67,28;32,90;0,30;2525;99,22;59,1;-1484,8
449;2;67,56;32,94;0,28;2530;99,61;56,6;-498,1
450;2;67,84;32,92;0,28;2535;99,80;56,1;-85,2
451;2;68,12;32,81;0,30;2540;99,90;60,2;804,8
452;2;68,38;32,66;0,30;2545;100,00;60,0;-26,6
453;2;68,60;32,45;0,30;2550;100,00;60,8;158,9
454;2;68,80;32,21;0,31;2555;100,00;62,5;330,9
455;2;68,98;31,93;0,33;2560;100,00;66,6;818,3
456;2;69,14;31,61;0,36;2565;100,00;71,6;996,2
457;2;69,28;31,30;0,34;2570;100,00;68,0;-705,0
458;2;69,38;30,97;0,34;2575;100,00;69,0;186,9
459;2;69,45;30,63;0,35;2580;100,00;69,4;92,5
460;2;69,48;30,26;0,37;2585;100,00;74,2;963,3
461;2;69,49;29,83;0,43;2590;100,00;86,0;2356,1
462;2;69,46;29,43;0,40;2595;100,00;80,2;-1159,7
463;2;69,40;29,04;0,39;2600;100,00;78,9;-261,4
464;2;69,34;28,69;0,36;2605;100,00;71,0;-1579,3
465;2;69,27;28,40;0,30;2610;100,00;59,7;-2271,1
466;2;69,21;28,13;0,28;2615;99,90;55,3;-869,7
467;2;69,18;27,93;0,20;2620;100,00;40,4;-2974,0
468;2;69,16;27,78;0,15;2625;100,00;30,3;-2036,4
469;2;69,13;28,01;0,23;2645;99,71;11,6;-933,4
470;2;69,12;28,29;0,28;2650;100,00;56,0;8887,7
471;2;69,14;28,64;0,35;2655;100,00;70,1;2815,7
472;2;69,19;29,02;0,38;2660;100,00;76,7;1308,2
473;2;69,27;29,41;0,40;2665;100,00;79,6;593,8
474;2;69,39;29,81;0,42;2670;100,00;83,5;779,7
475;2;69,54;30,18;0,40;2675;100,00;79,8;-734,5
476;2;69,72;30,52;0,38;2680;100,00;76,9;-581,7
477;2;69,91;30,83;0,36;2685;100,00;72,7;-844,6
478;2;70,12;31,09;0,33;2690;100,00;66,8;-1175,1
479;2;70,35;31,31;0,32;2695;100,00;63,7;-637,6
480;2;70,60;31,51;0,32;2700;100,00;64,0;75,2
481;2;70,87;31,64;0,30;2705;100,00;59,9;-819,6
482;2;71,13;31,73;0,28;2710;100,00;55,0;-981,2
483;2;71,39;31,74;0,26;2715;100,00;52,0;-597,8
484;2;71,65;31,70;0,26;2720;100,00;52,6;114,7
485;2;71,90;31,66;0,25;2725;100,00;50,6;-395,2
486;2;72,16;31,60;0,27;2730;100,00;53,4;546,1
487;2;72,41;31,54;0,26;2735;100,00;51,4;-389,4
488;2;72,64;31,48;0,24;2740;100,00;47,5;-776,1
489;2;72,85;31,41;0,22;2745;100,00;44,3;-653,5
490;2;73,04;31,36;0,20;2750;100,00;39,3;-995,6
491;2;73,20;31,32;0,16;2755;100,00;33,0;-1261,8
492;2;73,34;31,32;0,14;2760;100,00;28,0;-997,0
493;2;73,48;31,38;0,15;2765;100,00;30,5;492,6
494;2;73,62;31,44;0,15;2770;100,00;30,5;0,0
495;2;73,76;31,55;0,18;2775;100,00;35,6;1029,2
496;2;73,91;31,68;0,20;2780;100,00;39,7;818,0
497;2;74,07;31,82;0,21;2785;100,00;42,5;564,3
498;2;74,23;31,97;0,22;2790;100,00;43,9;268,6
499;2;74,41;32,09;0,22;2795;100,00;43,3;-119,4
500;2;74,61;32,19;0,22;2800;100,00;44,7;290,9
501;2;74,82;32,25;0,22;2805;100,00;43,7;-208,1
502;2;75,05;32,28;0,23;2810;100,00;46,4;541,8
503;2;75,30;32,30;0,25;2815;100,00;50,2;754,0
504;2;75,57;32,26;0,27;2820;100,00;54,6;885,9
505;2;75,86;32,18;0,30;2825;100,00;60,2;1115,4
506;2;76,14;32,09;0,29;2830;100,00;58,8;-268,9
507;2;76,42;31,92;0,33;2835;100,00;65,5;1338,3
508;2;76,67;31,75;0,30;2840;100,00;60,5;-1009,7
509;2;76,89;31,54;0,30;2845;100,00;60,8;72,6
510;2;77,08;31,32;0,29;2850;100,00;58,1;-538,0
511;2;77,23;31,14;0,23;2855;100,00;46,9;-2255,3
512;2;77,34;30,96;0,21;2860;100,00;42,2;-934,3
513;2;77,40;30,80;0,17;2865;100,00;34,2;-1602,8
514;2;77,40;30,65;0,15;2870;100,00;30,0;-835,2
515;2;77,36;30,52;0,14;2875;100,00;27,2;-559,4
516;2;77,26;30,40;0,16;2880;100,00;31,2;807,6
517;2;77,12;30,32;0,16;2885;100,00;32,2;201,6
518;2;76,93;30,28;0,19;2890;100,00;38,8;1316,8
519;2;76,70;30,27;0,23;2895;100,00;46,0;1442,1
520;2;76,43;30,32;0,27;2900;100,00;54,9;1774,9
521;2;76,14;30,43;0,31;2905;100,00;62,0;1422,8
522;2;75,82;30,62;0,37;2910;100,00;74,4;2479,8
523;2;75,46;30,88;0,44;2915;100,00;88,8;2876,6
524;2;75,09;31,23;0,51;2920;98,24;101,9;2609,6
525;2;74,66;31,61;0,57;2925;95,31;114,8;2581,3
526;2;74,22;32,08;0,64;2930;89,44;128,8;2798,8
527;2;73,66;32,53;0,72;2935;74,39;143,7;2983,4
528;2;73,04;33,04;0,80;2940;46,53;160,6;3376,3
529;2;72,37;33,59;0,87;2945;19,35;173,4;2561,0
