N. ORD.;TRATTO;X (mm);Y (mm);DISTANZA (mm);TEMPO (msec);PRESSIONE (%);VELOCITA (mm/sec);ACCELERAZIONE (mm/sec^2)
439;2;64,59;30,94;0,17;2410;95,31;17,3;-803,6
440;2;64,45;31,03;0,17;2415;95,31;33,3;3204,8
441;2;64,35;31,15;0,16;2420;95,31;31,2;-409,1
442;2;64,26;31,30;0,17;2425;95,31;35,0;748,9
443;2;64,19;31,47;0,18;2430;95,60;36,8;356,8
444;2;64,13;31,66;0,20;2435;95,70;39,8;616,0
445;2;64,09;31,86;0,20;2440;95,80;40,8;188,5
446;2;64,07;32,07;0,21;2445;96,29;42,2;279,6
447;2;64,09;32,28;0,21;2450;96,38;42,2;0,0
448;2;64,14;32,50;0,23;2455;96,68;45,1;586,4
449;2;64,22;32,68;0,20;2460;96,87;39,4;-1145,3
450;2;64,35;32,84;0,21;2465;96,77;41,2;367,1
451;2;64,49;32,96;0,18;2470;97,36;36,9;-870,6
452;2;64,66;33,03;0,18;2475;97,56;36,8;-21,7
453;2;64,86;33,07;0,20;2480;97,75;40,8;804,5
454;2;65,09;33,04;0,23;2485;98,14;46,4;1119,5
455;2;65,34;32,95;0,27;2490;97,95;53,1;1350,3
456;2;65,60;32,81;0,30;2495;98,14;59,1;1183,6
457;2;65,85;32,62;0,31;2500;98,14;62,8;748,4
458;2;66,07;32,41;0,30;2505;98,04;60,8;-394,7
459;2;66,27;32,18;0,30;2510;97,95;61,0;26,3
460;2;66,46;31,94;0,31;2515;97,95;61,2;52,4
461;2;66,63;31,71;0,29;2520;98,04;57,2;-803,9
462;2;66,78;31,47;0,28;2525;98,24;56,6;-119,5
463;2;66,88;31,25;0,24;2530;98,14;48,3;-1654,3
464;2;66,95;31,07;0,19;2535;98,24;38,6;-1941,2
465;2;66,99;30,92;0,16;2540;98,04;31,0;-1515,6
466;2;66,97;30,78;0,14;2555;97,36;9,4;-1441,4
467;2;66,80;30,87;0,19;2575;97,56;9,6;9,5
468;2;66,67;31,02;0,20;2580;97,56;39,7;6016,2
469;2;66,57;31,23;0,23;2585;97,65;46,5;1364,0
470;2;66,52;31,46;0,24;2590;97,75;47,1;111,1
471;2;66,51;31,72;0,26;2595;97,65;52,0;992,8
472;2;66,53;32,00;0,28;2600;97,75;56,1;820,8
473;2;66,60;32,25;0,26;2605;98,04;51,9;-843,9
474;2;66,71;32,49;0,26;2610;98,04;52,8;175,7
475;2;66,84;32,69;0,24;2615;98,34;47,7;-1018,8
476;2;67,01;32,83;0,22;2620;98,24;44,0;-732,4
477;2;67,20;32,92;0,21;2625;98,24;42,0;-399,6
478;2;67,41;32,97;0,22;2630;98,34;43,2;225,3
479;2;67,64;32,99;0,23;2635;98,24;46,2;599,9
480;2;67,86;33,00;0,22;2640;98,14;44,0;-425,6
481;2;68,10;32,96;0,24;2645;98,24;48,7;923,3
482;2;68,33;32,89;0,24;2650;98,24;48,1;-115,8
483;2;68,55;32,77;0,25;2655;98,24;50,1;407,3
484;2;68,74;32,59;0,26;2660;98,24;52,3;445,0
485;2;68,91;32,43;0,23;2665;98,24;46,7;-1130,9
486;2;69,07;32,28;0,22;2670;97,95;43,9;-565,4
487;2;69,21;32,17;0,18;2675;97,85;35,6;-1650,9
488;2;69,35;32,11;0,15;2680;97,75;30,5;-1029,2
489;2;69,50;32,12;0,15;2690;98,14;15,0;-1543,0
490;2;69,60;32,17;0,11;2695;98,04;22,4;1465,5
491;2;69,68;32,27;0,13;2705;98,24;12,8;-955,4
492;2;69,72;32,39;0,13;2710;98,04;25,3;2498,4
493;2;69,77;32,53;0,15;2720;97,65;14,9;-1043,2
494;2;69,82;32,64;0,12;2725;97,65;24,2;1860,0
495;2;69,90;32,46;0,20;2750;98,73;7,9;-651,5
496;2;69,95;32,27;0,20;2755;98,92;39,3;6282,9
497;2;69,99;32,04;0,23;2760;98,83;46,7;1479,3
498;2;70,02;31,83;0,21;2765;98,92;42,4;-852,8
499;2;70,03;31,60;0,23;2770;98,92;46,0;723,4
500;2;70,04;31,35;0,25;2775;98,83;50,0;799,3
501;2;70,04;31,09;0,26;2780;99,12;52,0;392,0
502;2;70,04;30,79;0,30;2785;99,22;60,0;1600,0
503;2;70,05;30,48;0,31;2790;99,12;62,0;406,4
504;2;70,07;30,18;0,30;2795;99,41;60,1;-379,8
505;2;70,08;29,86;0,32;2800;99,12;64,0;779,6
506;2;70,07;29,58;0,28;2805;98,92;56,0;-1599,1
507;2;70,04;29,31;0,27;2810;99,22;54,3;-340,7
508;2;70,01;29,12;0,19;2815;98,73;38,5;-3172,3
509;2;69,97;29,29;0,17;2840;98,24;7,0;-1259,4
510;2;69,96;29,49;0,20;2845;98,34;40,0;6612,9
511;2;69,97;29,73;0,24;2850;98,24;48,0;1598,3
512;2;70,01;30,01;0,28;2855;98,24;56,6;1705,4
513;2;70,08;30,33;0,33;2860;98,53;65,5;1789,0
514;2;70,18;30,64;0,33;2865;98,53;65,1;-73,5
515;2;70,32;30,95;0,34;2870;98,83;68,0;576,7
516;2;70,49;31,23;0,33;2875;99,12;65,5;-503,2
517;2;70,69;31,48;0,32;2880;99,02;64,0;-296,4
518;2;70,93;31,74;0,35;2885;99,22;70,8;1347,2
519;2;71,21;31,97;0,36;2890;99,22;72,5;340,7
520;2;71,50;32,20;0,37;2895;99,32;74,0;311,3
521;2;71,81;32,37;0,35;2900;99,41;70,7;-663,3
522;2;72,12;32,47;0,33;2905;99,41;65,1;-1112,9
523;2;72,43;32,53;0,32;2910;99,61;63,2;-399,1
524;2;72,74;32,53;0,31;2915;100,00;62,0;-230,1
525;2;73,05;32,48;0,31;2920;100,00;62,8;160,3
526;2;73,35;32,42;0,31;2925;100,00;61,2;-322,6
527;2;73,63;32,32;0,30;2930;100,00;59,5;-344,8
528;2;73,89;32,21;0,28;2935;100,00;56,5;-600,4
529;2;74,14;32,11;0,27;2940;100,00;53,9;-522,1
530;2;74,36;32,02;0,24;2945;100,00;47,5;-1262,4
531;2;74,56;31,98;0,20;2950;100,00;40,8;-1349,5
532;2;74,75;31,96;0,19;2955;100,00;38,2;-516,4
533;2;74,92;31,96;0,17;2960;100,00;34,0;-842,0
534;2;75,09;31,95;0,17;2965;100,00;34,1;11,8
535;2;75,26;31,96;0,17;2970;100,00;34,1;0,0
536;2;75,42;32,00;0,16;2975;100,00;33,0;-214,8
537;2;75,58;32,06;0,17;2980;99,71;34,2;238,2
538;2;75,74;32,15;0,18;2985;99,71;36,7;507,8
539;2;75,88;32,26;0,18;2990;99,71;35,6;-221,2
540;2;76,02;32,33;0,16;2995;99,80;31,3;-860,8
541;2;76,15;32,35;0,13;3000;100,00;26,3;-999,8
542;2;76,35;32,29;0,21;3010;100,00;20,9;-542,5
543;2;76,51;32,23;0,17;3015;100,00;34,2;2659,1
544;2;76,66;32,15;0,17;3020;100,00;34,0;-35,2
545;2;76,80;32,05;0,17;3025;100,00;34,4;81,9
546;2;76,91;31,91;0,18;3030;100,00;35,6;239,9
547;2;77,00;31,75;0,18;3035;100,00;36,7;221,2
548;2;77,06;31,60;0,16;3040;100,00;32,3;-880,8
549;2;77,09;31,40;0,20;3045;100,00;40,4;1627,3
550;2;77,08;31,21;0,19;3050;100,00;38,1;-479,0
551;2;77,02;31,03;0,19;3055;100,00;37,9;-21,1
552;2;76,94;30,85;0,20;3060;100,00;39,4;289,6
553;2;76,84;30,72;0,16;3065;100,00;32,8;-1318,6
554;2;76,74;30,62;0,14;3070;100,00;28,3;-903,6
555;2;76,61;30,57;0,14;3075;100,00;27,9;-85,5
556;2;76,45;30,55;0,16;3080;100,00;32,2;878,5
557;2;76,26;30,60;0,20;3085;99,71;39,3;1408,9
558;2;76,03;30,70;0,25;3090;99,12;50,2;2173,2
559;2;75,75;30,84;0,31;3095;98,53;62,6;2490,0
560;2;75,44;31,06;0,38;3100;97,36;76,0;2683,3
561;2;75,08;31,33;0,45;3105;95,80;90,0;2794,7
562;2;74,69;31,67;0,52;3110;93,06;103,5;2695,9
563;2;74,24;32,04;0,58;3115;89,64;116,5;2607,3
564;2;73,77;32,51;0,66;3120;83,77;132,9;3284,0
565;2;73,17;32,93;0,73;3125;71,36;146,5;2708,5
566;2;72,52;33,37;0,78;3130;46,53;157,0;2101,1
567;2;71,81;33,89;0,88;3135;20,63;176,0;3805,5
