N. ORD.;TRATTO;X (mm);Y (mm);DISTANZA (mm);TEMPO (msec);PRESSIONE (%);VELOCITA (mm/sec);ACCELERAZIONE (mm/sec^2)
457;7;58,9;31,01;0,37;2660;63,05;73,8;-194
458;7;59,3;30,99;0,4;2665;51,03;80,1;1268,7
459;7;59,72;31,02;0,42;2670;34,41;84,2;822,8
460;7;60,1;31,02;0,38;2675;13,2;76;-1642,8
461;;60,53;31,08;0,43;2680;0;86,8;2166,6
462;;60,9;31,09;0,37;2685;0;74;-2561,2
463;;61,3;31,11;0,4;2690;0;80,1;1214,6
464;;61,73;31,13;0,43;2695;0;86,1;1198,6
465;;62,18;31,14;0,45;2700;0;90;785,8
466;;62,67;31,14;0,49;2705;0;98;1595,6
467;;63,21;31,14;0,54;2710;0;108;2000
468;;63,79;31,11;0,58;2715;0;116,2;1631
469;;64,4;31,11;0,61;2720;0;122;1169
470;;65,04;31,13;0,64;2725;0;128,1;1212,5
471;;65,7;31,16;0,66;2730;0;132,1;814,8
472;;66,41;31,25;0,72;2735;0;143,1;2200
473;;67,16;31,35;0,76;2740;0;151,3;1638,2
474;;67,93;31,45;0,78;2745;0;155,3;793,2
475;;68,68;31,55;0,76;2750;0;151,3;-793,2
476;;69,38;31,62;0,7;2755;0;140,7;-2125,8
477;;69,99;31,7;0,62;2760;0;123;-3530,7
478;;70,5;31,75;0,51;2765;0;102,5;-4111,1
479;;70,92;31,78;0,42;2770;0;84,2;-3655
480;;71,24;31,79;0,32;2775;0;64;-4036,6
481;;71,46;31,76;0,22;2780;0;44,4;-3924,8
482;;71,57;31,68;0,14;2785;0;27,2;-3440,9
483;;71,49;31,48;0,22;2795;0;21,5;-566,2
484;;71,32;31,28;0,26;2800;0;52,5;6191,4
485;;71,07;31,09;0,31;2805;0;62,8;2060,7
486;;70,75;30,9;0,37;2810;0;74,4;2326
487;;70,39;30,71;0,41;2815;0;81,4;1396,3
488;;70,01;30,53;0,42;2820;0;84,1;536,5
489;;69,61;30,36;0,43;2825;0;86,9;566
490;;69,23;30,2;0,41;2830;0;82,5;-892,6
491;;68,88;30,06;0,38;2835;0;75,4;-1414
492;;68,59;29,93;0,32;2840;0;63,6;-2366,3
493;;68,38;29,82;0,24;2845;0;47,4;-3229,6
494;;68,24;29,74;0,16;2850;0;32,2;-3032,8
495;;68,31;29,6;0,16;2875;0;6,3;-1039,5
496;;68,37;29,5;0,12;2880;0;23,3;3412,6
497;;68,46;29,41;0,13;2890;0;12,7;-1059,6
498;;68,53;29,33;0,11;2895;0;21,3;1706,5
499;;68,61;29,24;0,12;2905;0;12;-921,9
500;;68,69;29,13;0,14;2915;0;13,6;156
501;;68,77;29,03;0,13;2920;0;25,6;2402,2
502;;68,88;28,9;0,17;2930;0;17;-858,3
503;;69,03;28,8;0,18;2935;0;36,1;3805,2
504;;69,16;28,68;0,18;2940;0;35,4;-134,4
505;;69,35;28,57;0,22;2945;0;43,9;1705,1
506;;69,52;28,45;0,21;2950;0;41,6;-458,3
507;;69,71;28,38;0,2;2955;0;40,5;-224,1
508;;69,88;28,3;0,19;2960;0;37,6;-584,1
509;;70,07;28,24;0,2;2965;0;39,8;454,6
510;8;70,25;28,19;0,19;2970;35,78;37,4;-497,3
511;8;70,42;28,14;0,18;2975;41,74;35,4;-384,6
512;8;70,57;28,11;0,15;2980;46,73;30,6;-969,2
513;8;70,71;28,08;0,14;2990;55,52;14,3;-1627,6
514;8;70,56;28,12;0,16;3010;67,64;7,8;-327,8
515;8;70,31;28,21;0,27;3015;70,48;53,1;9075,8
516;8;69,96;28,37;0,38;3020;72,83;77;4765,2
517;8;69,5;28,58;0,51;3025;74,88;101,1;4833,2
518;8;68,94;28,85;0,62;3030;76,54;124,3;4640,9
519;8;68,28;29,16;0,73;3035;77,32;145,8;4299,5
520;8;67,56;29,52;0,8;3040;78,4;161;3032,3
521;8;66,8;29,91;0,85;3045;79,18;170,8;1969,6
522;8;66,04;30,34;0,87;3050;79,67;174,6;759,5
523;8;65,31;30,77;0,85;3055;80,55;169,4;-1039,3
524;8;64,64;31,22;0,81;3060;80,94;161,4;-1605,5
525;8;64,07;31,64;0,71;3065;81,13;141,6;-3962,7
526;8;63,61;32,03;0,6;3070;81,52;120,6;-4198
527;8;63,28;32,4;0,5;3075;81,52;99,2;-4291,7
528;8;63,06;32,73;0,4;3080;81,62;79,3;-3966,9
529;8;62,97;33,01;0,29;3085;81,13;58,8;-4100,1
530;8;62,97;33,26;0,25;3090;80,35;50;-1764,4
531;8;63,09;33,47;0,24;3095;78,59;48,4;-325,3
532;8;63,27;33,63;0,24;3100;75,76;48,2;-41,4
533;8;63,53;33,79;0,31;3105;71,26;61,1;2578,2
534;8;63,81;33,86;0,29;3110;64,13;57,7;-666,8
535;8;64,16;33,94;0,36;3115;53,67;71,8;2816,4
536;8;64,53;33,98;0,37;3120;37,63;74,4;525,2
537;8;64,87;33,95;0,34;3125;17,6;68,3;-1233,4
538;;65,28;33,95;0,41;3130;0;82;2747,2
539;;65,62;33,84;0,36;3135;0;71,5;-2105,9
540;;65,98;33,73;0,38;3140;0;75,3;763,2
541;;66,31;33,62;0,35;3145;0;69,6;-1143,2
542;;66,6;33,5;0,31;3150;0;62,8;-1360,1
543;;66,84;33,37;0,27;3155;0;54,6;-1636
544;;67,02;33,23;0,23;3160;0;45,6;-1796,5
545;;67,22;33,14;0,22;3165;0;43,9;-348,7
546;;67,32;33,01;0,16;3170;0;32,8;-2212,2
547;;67,42;32,95;0,12;3175;0;23,3;-1895,7
548;9;67,43;32,94;0,01;3200;70,48;0,6;-910,3
549;9;67,43;32,93;0,01;3205;72,92;2;286,9
550;9;67,44;32,92;0,01;3210;74,98;2,8;165,7
551;9;67,52;32,83;0,12;3215;76,54;24,1;4251
552;9;67,62;32,78;0,11;3220;77,81;22,4;-344,5
553;9;67,73;32,74;0,12;3225;78,49;23,4;209,7
554;9;67,87;32,71;0,14;3230;78,79;28,6;1045,2
555;9;68,04;32,69;0,17;3235;79,08;34,2;1119,8
556;9;68,26;32,65;0,22;3240;78,89;44,7;2097,4
557;9;68,5;32,61;0,24;3245;78,98;48,7;788,1
558;9;68,74;32,56;0,25;3250;79,08;49;73,7
559;9;68,95;32,53;0,21;3255;78,98;42,4;-1320,8
560;9;69,12;32,5;0,17;3260;79,18;34,5;-1580,2
561;9;69,26;32,49;0,14;3265;79,18;28,1;-1290,8
562;9;69,27;32,5;0,01;3290;82,7;0,6;-1100,2
563;9;69,21;32,61;0,13;3295;83,38;25,1;4898,8
564;9;69,1;32,73;0,16;3300;83,97;32,6;1499,5
565;9;68,96;32,84;0,18;3305;84,16;35,6;610,3
566;9;68,83;32,96;0,18;3310;84,56;35,4;-45,1
567;9;68,72;33,07;0,16;3315;84,65;31,1;-854,2
568;9;68,64;33,18;0,14;3320;84,56;27,2;-782
569;9;68,67;33,34;0,16;3335;83,87;10,9;-1090
570;9;68,79;33,43;0,15;3345;81,13;15;414,7
571;9;68,9;33,47;0,12;3350;79,18;23,4;1681,9
572;9;69,04;33,49;0,14;3355;76,54;28,3;975
573;9;69,18;33,47;0,14;3360;73,7;28,3;0
574;9;69,34;33,43;0,16;3365;71,36;33;940,1
575;9;69,51;33,36;0,18;3370;69,11;36,8;756,9
576;9;69,69;33,28;0,2;3375;67,55;39,4;525,2
577;9;69,87;33,16;0,22;3380;66,86;43,3;774,2
578;9;70,07;33,02;0,24;3385;66,47;48,8;1111,9
579;9;70,26;32,84;0,26;3390;66,67;52,3;703,8
580;9;70,42;32,63;0,26;3395;67,55;52,8;91,3
581;9;70,57;32,41;0,27;3400;68,91;53,3;90,5
582;9;70,67;32,17;0,26;3405;70,87;52;-250,8
583;9;70,76;31,94;0,25;3410;72,73;49,4;-520,7
584;9;70,82;31,73;0,22;3415;74,58;43,7;-1143,1
585;9;70,86;31,53;0,2;3420;76,25;40,8;-577,7
586;9;70,87;31,36;0,17;3425;77,61;34,1;-1346,7
587;9;70,84;31,16;0,2;3435;78,89;20,2;-1383,5
588;9;70,8;31,02;0,15;3445;78,49;14,6;-566,4
589;9;70,81;31,01;0,01;3470;45,45;0,6;-559,8
590;9;70,97;31,02;0,16;3475;22,48;32,1;6299,3
591;9;71,17;31,1;0,22;3480;1,17;43,1;2203,8
592;;71,33;31,13;0,16;3485;0;32,6;-2104,7
593;;71,57;31,18;0,25;3490;0;49;3294,6
594;;71,84;31,25;0,28;3495;0;55,8;1350,9
595;;72,11;31,32;0,28;3500;0;55,8;0
596;;72,39;31,4;0,29;3505;0;58,2;491,1
597;;72,66;31,48;0,28;3510;0;56,3;-384,1
598;;72,93;31,56;0,28;3515;0;56,3;0
599;;73,18;31,62;0,26;3520;0;51,4;-980,1
600;;73,41;31,68;0,24;3525;0;47,5;-776,1
601;;73,62;31,7;0,21;3530;0;42,2;-1069,9
602;;73,79;31,71;0,17;3535;0;34,1;-1626,3
603;;73,95;31,7;0,16;3540;0;32,1;-399,3
604;;74,1;31,66;0,16;3545;0;31;-202,8
605;;74,24;31,61;0,15;3550;0;29,7;-263,2
606;;74,45;31,57;0,21;3555;0;42,8;2604,6
607;;74,59;31,44;0,19;3560;0;38,2;-909
608;;74,77;31,34;0,21;3565;0;41,2;594,5
609;;74,87;31,21;0,16;3570;0;32,8;-1676
610;;74,93;31,08;0,14;3575;0;28,6;-833,4
611;10;74,94;30,94;0,14;3585;56,7;14;-1460
612;10;74,83;30,79;0,19;3595;66,86;18,6;456,5
613;10;74,69;30,69;0,17;3600;70,77;34,4;3161,6
614;10;74,47;30,62;0,23;3605;73,41;46,2;2352,9
615;10;74,21;30,59;0,26;3610;75,56;52,3;1234,3
616;10;73,89;30,58;0,32;3615;77,22;64;2337,2
617;10;73,55;30,6;0,34;3620;78,49;68,1;817,3
618;10;73,2;30,64;0,35;3625;79,77;70,5;467,6
619;10;72,85;30,71;0,36;3630;80,65;71,4;186,1
620;10;72,52;30,81;0,34;3635;81,13;69;-484,5
621;10;72,22;30,93;0,32;3640;81,62;64,6;-868,4
622;10;71,96;31,07;0,3;3645;81,82;59,1;-1112,5
623;10;71,75;31,22;0,26;3650;82,01;51,6;-1489,1
624;10;71,6;31,39;0,23;3655;82,11;45,3;-1254,2
625;10;71,52;31,59;0,22;3660;82,11;43,1;-452,4
626;10;71,52;31,81;0,22;3665;82,01;44;183,7
627;10;71,58;32,03;0,23;3670;81,52;45,6;321,4
628;10;71,72;32,28;0,29;3675;80,45;57,3;2339,8
629;10;71,92;32,48;0,28;3680;78,69;56,6;-147,5
630;10;72,19;32,68;0,34;3685;75,76;67,2;2126,5
631;10;72,5;32,83;0,34;3690;71,07;68,9;335,1
632;10;72,88;32,97;0,4;3695;63,44;81;2423,4
633;10;73,24;33,05;0,37;3700;50,44;73,8;-1447,5
634;10;73,59;33,09;0,35;3705;32,36;70,5;-660,1
635;10;73,99;33,16;0,41;3710;11,93;81,2;2152
636;;74,33;33,13;0,34;3715;0;68,3;-2590,3
637;;74,7;33,11;0,37;3720;0;74,1;1168,8
638;;75,02;33,01;0,34;3725;0;67,1;-1411,2
639;;75,31;32,82;0,35;3730;0;69,3;457,5
640;;75,56;32,6;0,33;3735;0;66,6;-547,3
641;;75,79;32,32;0,36;3740;0;72,5;1173,5
642;;76,02;32;0,39;3745;0;78,8;1269,1
643;;76,24;31,66;0,4;3750;0;81;435,5
644;;76,48;31,31;0,42;3755;0;84,9;776,5
645;;76,71;30,95;0,43;3760;0;85,4;112,7
646;;76,97;30,64;0,4;3765;0;80,9;-904,1
647;;77,18;30,3;0,4;3770;0;79,9;-198,9
648;;77,43;30,01;0,38;3775;0;76,6;-669,6
649;;77,65;29,69;0,39;3780;0;77,7;217,8
650;;77,9;29,4;0,38;3785;0;76,6;-217,8
651;;78,17;29,15;0,37;3790;0;73,6;-596,7
652;;78,44;28,94;0,34;3795;0;68,4;-1036,6
653;11;78,69;28,79;0,29;3800;47,7;58,3;-2020,2
654;11;78,86;28,68;0,2;3805;54,84;40,5;-3562,5
655;11;79;28,62;0,15;3810;60,61;30,5;-2006,8
656;11;78,81;28,74;0,22;3830;73,8;11,2;-961,3
657;11;78,55;28,9;0,31;3835;75,95;61,1;9964,3
658;11;78,25;29,12;0,37;3840;77,91;74,4;2669,4
659;11;77,91;29,37;0,42;3845;79,57;84,4;1999,9
660;11;77,57;29,67;0,45;3850;81,13;90,7;1256,5
661;11;77,22;29,99;0,47;3855;82,7;94,8;832,2
662;11;76,85;30,31;0,49;3860;83,68;97,8;597,9
663;11;76,55;30,62;0,43;3865;84,56;86,3;-2311,6
664;11;76,31;30,93;0,39;3870;85,04;78,4;-1573,9
665;11;76,16;31,21;0,32;3875;85,43;63,5;-2975,9
666;11;76,12;31,48;0,27;3880;85,83;54,6;-1788
667;11;76,12;31,73;0,25;3885;86,41;50;-917,9
668;11;76,2;31,94;0,22;3890;87;44,9;-1011,1
669;11;76,34;32,11;0,22;3895;87,49;44;-179,8
670;11;76,53;32,22;0,22;3900;87,98;43,9;-27,3
671;11;76,78;32,27;0,25;3905;88,27;51;1416,2
672;11;77,07;32,28;0,29;3910;88,47;58;1408,9
673;11;77,39;32,25;0,32;3915;88,66;64,3;1249,2
674;11;77,73;32,19;0,35;3920;88,76;69,1;954
675;11;78,09;32,1;0,37;3925;89,05;74,2;1033
676;11;78,45;31,95;0,39;3930;89,15;78;756,8
677;11;78,81;31,76;0,41;3935;89,44;81,4;682,5
678;11;79,18;31,51;0,45;3940;89,35;89,3;1579,2
679;11;79,56;31,24;0,47;3945;89,05;93,2;784,5
680;11;79,96;30,94;0,5;3950;89,15;100;1353,8
681;11;80,37;30,63;0,51;3955;88,56;102,8;560,2
682;11;80,76;30,36;0,47;3960;88,56;94,9;-1586,5
683;11;81,09;30,13;0,4;3965;88,37;80,4;-2883,9
684;11;81,36;29,99;0,3;3970;87,98;60,8;-3924,2
685;11;81,55;29,92;0,2;3975;87,78;40,5;-4066,1
686;11;81,68;29,98;0,14;3985;87,49;14,3;-2617,9
687;11;81,71;30,12;0,14;3990;87,1;28,6;2863,6
688;11;81,65;30,35;0,24;3995;87;47,5;3780,8
689;11;81,51;30,68;0,36;4000;86,71;71,7;4830,9
690;11;81,28;31,1;0,48;4005;86,51;95,8;4815,4
691;11;81,01;31,58;0,55;4010;85,53;110,1;2875
692;11;80,74;32,12;0,6;4015;82,7;120,7;2120,5
693;11;80,42;32,62;0,59;4020;75,17;118,7;-404,2
694;11;80,17;33,13;0,57;4025;54,06;113,6;-1026,2
695;11;79,97;33,67;0,58;4030;28,05;115,2;314,7
696;11;79,77;34,18;0,55;4035;3,81;109,6;-1121,3
